field,row,column,number,cone_size,date,year,doy,samp_id,depth_cm,resis_kpa
broccoli,1,1,N= 1,1/2 Inch,2020-03-16,2020,76,broccoli_1,0,69
broccoli,1,2,N= 2,1/2 Inch,2020-03-16,2020,76,broccoli_2,0,34
broccoli,1,3,N= 3,1/2 Inch,2020-03-16,2020,76,broccoli_3,0,448
broccoli,1,4,N= 4,1/2 Inch,2020-03-16,2020,76,broccoli_4,0,69
broccoli,1,5,N= 5,1/2 Inch,2020-03-16,2020,76,broccoli_5,0,69
broccoli,2,5,N= 6,1/2 Inch,2020-03-16,2020,76,broccoli_6,0,34
broccoli,2,4,N= 7,1/2 Inch,2020-03-16,2020,76,broccoli_7,0,34
broccoli,2,3,N= 8,1/2 Inch,2020-03-16,2020,76,broccoli_8,0,69
broccoli,2,2,N= 9,1/2 Inch,2020-03-16,2020,76,broccoli_9,0,172
broccoli,2,1,N= 10,1/2 Inch,2020-03-16,2020,76,broccoli_10,0,172
broccoli,3,1,N= 11,1/2 Inch,2020-03-16,2020,76,broccoli_11,0,172
broccoli,3,3,N= 13,1/2 Inch,2020-03-16,2020,76,broccoli_13,0,207
broccoli,3,4,N= 15,1/2 Inch,2020-03-16,2020,76,broccoli_15,0,69
broccoli,3,5,N= 17,1/2 Inch,2020-03-16,2020,76,broccoli_17,0,69
leafbag,2,3,N= 2,1/2 Inch,2020-03-16,2020,76,leafbag_2,0,276
leafbag,3,3,N= 3,1/2 Inch,2020-03-16,2020,76,leafbag_3,0,69
leafbag,4,3,N= 5,1/2 Inch,2020-03-16,2020,76,leafbag_5,0,34
leafbag,4,3,N= 6,1/2 Inch,2020-03-16,2020,76,leafbag_6,0,104
leafbag,5,2,N= 8,1/2 Inch,2020-03-16,2020,76,leafbag_8,0,172
leafbag,4,2,N= 9,1/2 Inch,2020-03-16,2020,76,leafbag_9,0,138
leafbag,3,2,N= 10,1/2 Inch,2020-03-16,2020,76,leafbag_10,0,34
leafbag,2,2,N= 11,1/2 Inch,2020-03-16,2020,76,leafbag_11,0,34
leafbag,1,2,N= 12,1/2 Inch,2020-03-16,2020,76,leafbag_12,0,104
leafbag,1,1,N= 13,1/2 Inch,2020-03-16,2020,76,leafbag_13,0,34
leafbag,3,1,N= 14,1/2 Inch,2020-03-16,2020,76,leafbag_14,0,34
leafbag,4,1,N= 15,1/2 Inch,2020-03-16,2020,76,leafbag_15,0,172
leafbag,5,1,N= 16,1/2 Inch,2020-03-16,2020,76,leafbag_16,0,172
OG,1,4,N= 1,1/2 Inch,2020-03-16,2020,76,OG_1,0,34
OG,2,4,N= 2,1/2 Inch,2020-03-16,2020,76,OG_2,0,207
OG,3,4,N= 3,1/2 Inch,2020-03-16,2020,76,OG_3,0,172
OG,4,4,N= 4,1/2 Inch,2020-03-16,2020,76,OG_4,0,69
OG,4,4,N= 6,1/2 Inch,2020-03-16,2020,76,OG_6,0,34
OG,4,4,N= 7,1/2 Inch,2020-03-16,2020,76,OG_7,0,34
OG,4,3,N= 8,1/2 Inch,2020-03-16,2020,76,OG_8,0,34
OG,3,3,N= 9,1/2 Inch,2020-03-16,2020,76,OG_9,0,34
OG,2,3,N= 10,1/2 Inch,2020-03-16,2020,76,OG_10,0,138
OG,2,2,N= 11,1/2 Inch,2020-03-16,2020,76,OG_11,0,138
OG,3,2,N= 12,1/2 Inch,2020-03-16,2020,76,OG_12,0,483
OG,4,1,N= 14,1/2 Inch,2020-03-16,2020,76,OG_14,0,69
OG,3,1,N= 15,1/2 Inch,2020-03-16,2020,76,OG_15,0,34
OG,2,1,N= 17,1/2 Inch,2020-03-16,2020,76,OG_17,0,138
prairie-trees,2,1,N= 2,1/2 Inch,2020-03-16,2020,76,prairie-trees_2,0,276
prairie-trees,3,1,N= 3,1/2 Inch,2020-03-16,2020,76,prairie-trees_3,0,414
prairie-trees,3,2,N= 4,1/2 Inch,2020-03-16,2020,76,prairie-trees_4,0,69
prairie-trees,3,3,N= 5,1/2 Inch,2020-03-16,2020,76,prairie-trees_5,0,69
prairie-trees,3,4,N= 6,1/2 Inch,2020-03-16,2020,76,prairie-trees_6,0,104
prairie-trees,3,5,N= 7,1/2 Inch,2020-03-16,2020,76,prairie-trees_7,0,69
berries,1,1,N= 1,1/2 Inch,2020-03-16,2020,76,berries_1,0,69
berries,2,1,N= 2,1/2 Inch,2020-03-16,2020,76,berries_2,0,380
berries,3,1,N= 3,1/2 Inch,2020-03-16,2020,76,berries_3,0,207
vineyard,3,1,N= 1,1/2 Inch,2020-03-16,2020,76,vineyard_1,0,104
vineyard,2,1,N= 2,1/2 Inch,2020-03-16,2020,76,vineyard_2,0,586
vineyard,1,1,N= 3,1/2 Inch,2020-03-16,2020,76,vineyard_3,0,69
vineyard,1,2,N= 4,1/2 Inch,2020-03-16,2020,76,vineyard_4,0,483
vineyard,2,2,N= 5,1/2 Inch,2020-03-16,2020,76,vineyard_5,0,414
